Ration_Card_Number,Family_Member,Aadhaar_Number,Mobile_Number,Address
3.24E+11,Meganathan,1.00E+02,8072593510,"453, Bains Circle, Satara-111048"
3.24E+11,Mohana priya ,2.71E+11,9003223048,"453, Bains Circle, Satara-111048"
4.00E+09,Malar,1.06E+02,90479 37507,"453, Bains Circle, Satara-111048"
4.00E+09,Mohana Priya,5.70E+11,90032 23048,"453, Bains Circle, Satara-111048"
4.00E+09,Meganathan,6.90E+11,8072593510,"59, Chaudry, Amaravati 024175"
4.00E+09,Hemanath,5.53E+11,9941519588,"59, Chaudry, Amaravati 024175"
4.00E+09,Prakash S,4.22E+11,9003218977,"59, Chaudry, Amaravati 024175"
9.00E+10,Mohana priya ,1.26E+02,9003223048,"59, Chaudry, Amaravati 024175"
9.00E+10,Meganathan,4.07E+11,8072593510,"59, Chaudry, Amaravati 024175"
9.00E+10,Hemanath,5.91E+11,8838088064,"H.No. 590, Sahota Ganj, Kakinada-692138"
9.00E+10,Prakash S,4.25E+11,9003218977,"H.No. 590, Sahota Ganj, Kakinada-692138"
3.34E+11,Ganesh Shankar,1.23E+04,9617966098,"H.No. 590, Sahota Ganj, Kakinada-692138"
3.34E+11,Anurag Joshi,8.36E+11,9119148314,"H.No. 590, Sahota Ganj, Kakinada-692138"
3.34E+11,Ramesh Pratap,7.86E+11,9579485171,"H.No. 590, Sahota Ganj, Kakinada-692138"
3.33E+11,Namrata Joshi,6.52E+11,9154210321,"16/339, Kumer Chowk, Erode-621356"
3.33E+11,Pankaj Dubey,9.81E+11,9544955384,"16/339, Kumer Chowk, Erode-621356"
3.33E+11,Dinesh Pillai,5.97E+11,9159459490,"16/339, Kumer Chowk, Erode-621356"
3.33E+11,Dinesh Pillai,1.68E+11,9709552193,"16/339, Kumer Chowk, Erode-621356"
3.34E+11,Hemant Rajput,2.98E+11,9771305594,"H.No. 378, Chaudhari, Shahjahanpur 963516"
3.34E+11,Harshita Saxena,2.17E+11,9950841562,"H.No. 378, Chaudhari, Shahjahanpur 963516"
3.34E+11,Preethi Nair,5.96E+11,9333106135,"H.No. 378, Chaudhari, Shahjahanpur 963516"
3.34E+11,Shubham Chauhan,6.83E+11,9392856786,"H.No. 378, Chaudhari, Shahjahanpur 963516"
3.34E+11,Akash Malhotra,2.67E+11,9969037166,"H.No. 378, Chaudhari, Shahjahanpur 963516"
3.34E+11,Raghav Tandon,5.89E+11,9399342533,"65, Sankar Nagar, Suryapet-292912"
3.34E+11,Vineet Kumar,2.62E+11,9625475796,"65, Sankar Nagar, Suryapet-292912"
3.34E+11,Ritika Sharma,3.04E+11,9847554345,"65, Sankar Nagar, Suryapet-292912"
3.34E+11,Preethi Nair,2.33E+11,9256710392,"65, Sankar Nagar, Suryapet-292912"
3.34E+11,Harini Ravi,4.22E+11,9386643509,"H.No. 856, Sama Zila, Sikar 411810"
3.34E+11,Namrata Joshi,5.85E+11,9231755752,"H.No. 856, Sama Zila, Sikar 411810"
3.34E+11,Ritu Choudhary,3.77E+11,9368243971,"H.No. 856, Sama Zila, Sikar 411810"
3.31E+02,Sharvani Nair,9.34E+11,9660878147,"H.No. 856, Sama Zila, Sikar 411810"
3.31E+02,Akhil Yadav,7.50E+11,9834073600,"H.No. 856, Sama Zila, Sikar 411810"
3.31E+02,Swati Saxena,2.16E+11,9119910524,"H.No. 706, Virk Circle, Faridabad-753312"
3.31E+02,Vivek Ranjan,3.29E+11,9971337172,"H.No. 706, Virk Circle, Faridabad-753312"
3.31E+02,Deepak Tiwari,2.37E+11,9475971911,"H.No. 706, Virk Circle, Faridabad-753312"
3.31E+02,Juhi Saxena,8.81E+11,9581644770,"H.No. 706, Virk Circle, Faridabad-753312"
3.34E+11,Chirag Desai,7.29E+11,9569513332,"49/88, Chokshi Zila, Guntur-090931"
3.34E+11,Pratyush Ranjan,3.97E+11,9438725786,"49/88, Chokshi Zila, Guntur-090931"
3.34E+11,Dinesh Pillai,5.97E+11,9159459490,"49/88, Chokshi Zila, Guntur-090931"
3.34E+11,Vidya Nambiar,2.74E+11,9570717315,"49/88, Chokshi Zila, Guntur-090931"
3.33E+11,Kamal Kishore,4.92E+11,9316809544,"09/416, Garde Circle, Udupi 831123"
3.33E+11,Pratyush Ranjan,6.73E+11,9522016386,"09/416, Garde Circle, Udupi 831123"
3.33E+11,Komal Agrawal,6.21E+11,9274974007,"09/416, Garde Circle, Udupi 831123"
3.33E+11,Devanshi Mehta,5.53E+11,9228416307,"09/416, Garde Circle, Udupi 831123"
3.33E+11,Kamal Kishore,4.92E+11,9316809544,"09/416, Garde Circle, Udupi 831123"
3.34E+11,Ravi Chandra,7.41E+11,9177758117,"H.No. 991, Tailor Circle, Kirari Suleman Nagar-817567"
3.34E+11,Kiran Joshi,2.48E+11,9512226039,"H.No. 991, Tailor Circle, Kirari Suleman Nagar-817567"
3.34E+11,Ramesh Choudhary,7.13E+11,9138599290,"H.No. 991, Tailor Circle, Kirari Suleman Nagar-817567"
3.34E+11,Gaurav Tiwari,6.25E+11,9578701723,"H.No. 991, Tailor Circle, Kirari Suleman Nagar-817567"
3.34E+11,Siddhant Iyer,7.89E+11,9125613743,"H.No. 420, Chowdhury Marg, Meerut 989012"
3.34E+11,Vaishnavi Desai,8.91E+11,9627171098,"H.No. 420, Chowdhury Marg, Meerut 989012"
3.34E+11,Vikram Malhotra,9.95E+11,9955949144,"H.No. 420, Chowdhury Marg, Meerut 989012"
3.34E+11,Sujata Menon,4.25E+11,9718274870,"H.No. 420, Chowdhury Marg, Meerut 989012"
3.33E+11,Anand Iyer,4.75E+11,9534169146,"H.No. 12, Ratta Ganj, Tadepalligudem-929086"
3.33E+11,Geetha Krishnan,2.05E+11,9548712971,"H.No. 12, Ratta Ganj, Tadepalligudem-929086"
3.33E+11,Anurag Joshi,1.14E+11,9628624303,"H.No. 12, Ratta Ganj, Tadepalligudem-929086"
3.33E+11,Rajiv Bhardwaj,8.83E+11,9189188102,"H.No. 12, Ratta Ganj, Tadepalligudem-929086"
3.33E+11,Sagar Desai,2.27E+11,9885373621,"H.No. 12, Ratta Ganj, Tadepalligudem-929086"
3.34E+11,Vikash Anand,2.19E+11,9793195063,"H.No. 39, Mutti Zila, Jaunpur-994362"
3.34E+11,Gaurav Tiwari,4.84E+11,9895778872,"H.No. 39, Mutti Zila, Jaunpur-994362"
3.34E+11,Juhi Saxena,8.81E+11,9581644770,"H.No. 39, Mutti Zila, Jaunpur-994362"
3.34E+11,Vineet Kumar,2.62E+11,9625475796,"H.No. 39, Mutti Zila, Jaunpur-994362"
3.34E+11,Hemant Rajput,6.75E+11,9501913906,"37/686, Mand Street, Tirunelveli 505500"
3.34E+11,Kavitha Krishnan,9.09E+11,9205164704,"37/686, Mand Street, Tirunelveli 505500"
3.34E+11,Hemant Rajput,2.98E+11,9771305594,"37/686, Mand Street, Tirunelveli 505500"
3.34E+11,Jitendra Pandey,1.91E+11,9682186256,"37/686, Mand Street, Tirunelveli 505500"
3.33E+11,Anurag Joshi,8.82E+11,9346400830,"470, Dora Path, Panvel 061249"
3.33E+11,Meera Iyer,1.79E+11,9677465908,"470, Dora Path, Panvel 061249"
3.33E+11,Dinesh Pillai,5.97E+11,9159459490,"470, Dora Path, Panvel 061249"
3.33E+11,Gaurav Tiwari,4.84E+11,9895778872,"470, Dora Path, Panvel 061249"
3.33E+11,Ramesh Babu,2.74E+11,9815440907,"470, Dora Path, Panvel 061249"
3.34E+11,Ashwin Reddy,7.46E+11,9784451471,"75/012, Padmanabhan Zila, Bhagalpur 084577"
3.34E+11,Bhavna Patel,4.04E+11,9552573521,"75/012, Padmanabhan Zila, Bhagalpur 084577"
3.34E+11,Devendra Malhotra,5.91E+11,9609848164,"75/012, Padmanabhan Zila, Bhagalpur 084577"
3.34E+11,Nirmal Kumar,6.88E+11,9190014837,"75/012, Padmanabhan Zila, Bhagalpur 084577"
3.34E+11,Preethi Nair,5.96E+11,9333106135,"75/012, Padmanabhan Zila, Bhagalpur 084577"
3.34E+11,Vijay Patil,1.23E+11,9618046629,"H.No. 434, Chopra Chowk, Tiruvottiyur-423876"
3.34E+11,Nirmal Kumar,6.54E+11,9343437870,"H.No. 434, Chopra Chowk, Tiruvottiyur-423876"
3.34E+11,Vikram Malhotra,9.95E+11,9955949144,"H.No. 434, Chopra Chowk, Tiruvottiyur-423876"
3.34E+11,Deepak Tiwari,2.37E+11,9475971911,"H.No. 434, Chopra Chowk, Tiruvottiyur-423876"
3.34E+11,Dinesh Pillai,1.68E+11,9709552193,"067, Arora Path, Ramagundam-678589"
3.34E+11,Meera Iyer,1.79E+11,9677465908,"067, Arora Path, Ramagundam-678589"
3.34E+11,Harshita Saxena,2.17E+11,9950841562,"067, Arora Path, Ramagundam-678589"
3.34E+11,Tarun Verma,2.67E+11,9439574357,"067, Arora Path, Ramagundam-678589"
3.34E+11,Meera Iyer,3.76E+11,9210616958,"H.No. 519, Bhat Path, Ambala 591140"
3.34E+11,Ravi Varma,9.74E+11,9686657221,"H.No. 519, Bhat Path, Ambala 591140"
3.34E+11,Ramya Natarajan,7.08E+11,9100126921,"H.No. 519, Bhat Path, Ambala 591140"
3.34E+11,Harsha Narayan,9.75E+11,9437528570,"H.No. 519, Bhat Path, Ambala 591140"
3.34E+11,Swati Saxena,2.16E+11,9119910524,"H.No. 519, Bhat Path, Ambala 591140"
3.33E+11,Rajesh Kumar,3.33E+11,9279449969,"H.No. 80, Cherian Nagar, Bellary 650750"
3.33E+11,Kamal Kishore,5.46E+11,9977273707,"H.No. 80, Cherian Nagar, Bellary 650750"
3.33E+11,Ganesh Shankar,9.13E+11,9348975543,"H.No. 80, Cherian Nagar, Bellary 650750"
3.33E+11,Sneha Kapoor,7.54E+11,9735494753,"H.No. 80, Cherian Nagar, Bellary 650750"
3.33E+11,Priyanka Yadav,8.86E+11,9821757921,"H.No. 80, Cherian Nagar, Bellary 650750"
3.34E+11,Harshita Saxena,5.80E+11,9464446700,"83, Sodhi, Adoni 997257"
3.34E+11,Anand Iyer,4.75E+11,9534169146,"83, Sodhi, Adoni 997257"
3.34E+11,Reema Deshmukh,5.34E+11,9838016393,"83, Sodhi, Adoni 997257"
3.34E+11,Bhavna Patel,4.04E+11,9552573521,"83, Sodhi, Adoni 997257"
3.34E+11,Pankaj Dubey,9.81E+11,9544955384,"05/075, Devi Chowk, Noida 920671"
3.34E+11,Vineet Kumar,2.62E+11,9625475796,"05/075, Devi Chowk, Noida 920671"
3.34E+11,Anand Iyer,4.75E+11,9534169146,"05/075, Devi Chowk, Noida 920671"
3.34E+11,Aditi Sinha,1.61E+11,9716281276,"05/075, Devi Chowk, Noida 920671"
3.34E+11,Priyanka Yadav,8.86E+11,9821757921,"H.No. 674, Jhaveri Path, Pali 243839"
3.34E+11,Harsha Narayan,3.20E+11,9421658510,"H.No. 674, Jhaveri Path, Pali 243839"
3.34E+11,Rajiv Bhardwaj,6.95E+11,9880251213,"H.No. 674, Jhaveri Path, Pali 243839"
3.34E+11,Varun Tandon,9.84E+11,9126183652,"H.No. 674, Jhaveri Path, Pali 243839"
3.34E+11,Ashwin Reddy,4.41E+11,9395761194,"H.No. 674, Jhaveri Path, Pali 243839"
3.33E+11,Alok Mehta,1.42E+11,9422605430,"H.No. 04, Jhaveri Circle, Phagwara 328456"
3.33E+11,Deepa Nair,5.75E+11,9171360491,"H.No. 04, Jhaveri Circle, Phagwara 328456"
3.33E+11,Sharada Iyer,3.66E+11,9615018000,"H.No. 04, Jhaveri Circle, Phagwara 328456"
3.33E+11,Naveen Reddy,2.11E+11,9852868257,"H.No. 04, Jhaveri Circle, Phagwara 328456"
3.33E+11,Nisha Gupta,9.56E+11,9196526446,"H.No. 04, Jhaveri Circle, Phagwara 328456"
3.34E+11,Sagar Desai,2.27E+11,9885373621,"300, Nagar Ganj, Bokaro 602643"
3.34E+11,Tarun Verma,1.85E+11,9140930561,"300, Nagar Ganj, Bokaro 602643"
3.34E+11,Aparna Sinha,6.77E+11,9302938540,"300, Nagar Ganj, Bokaro 602643"
3.34E+11,Raghav Tandon,5.55E+11,9110744983,"300, Nagar Ganj, Bokaro 602643"
3.34E+11,Gaurav Tiwari,6.25E+11,9578701723,"300, Nagar Ganj, Bokaro 602643"
3.33E+11,Priyanka Yadav,9.09E+11,9652651273,"H.No. 761, Sidhu Street, Srinagar 841043"
3.33E+11,Sanjay Gupta,2.93E+11,9545556896,"H.No. 761, Sidhu Street, Srinagar 841043"
3.33E+11,Karthika Menon,3.76E+11,9362097810,"H.No. 761, Sidhu Street, Srinagar 841043"
3.33E+11,Raghav Tandon,5.89E+11,9399342533,"H.No. 761, Sidhu Street, Srinagar 841043"
3.33E+11,Tarun Verma,2.48E+11,9554755078,"H.No. 761, Sidhu Street, Srinagar 841043"
3.33E+11,Devanshi Mehta,5.53E+11,9228416307,"H.No. 67, Gill Ganj, Sri Ganganagar-582528"
3.33E+11,Anjali Bose,4.77E+11,9156095134,"H.No. 67, Gill Ganj, Sri Ganganagar-582528"
3.33E+11,Snehal Pawar,4.48E+11,9449649582,"H.No. 67, Gill Ganj, Sri Ganganagar-582528"
3.33E+11,Nandita Das,7.82E+11,9652959213,"H.No. 67, Gill Ganj, Sri Ganganagar-582528"
3.33E+11,Rahul Prasad,8.86E+11,9507868547,"H.No. 67, Gill Ganj, Sri Ganganagar-582528"
3.33E+11,Sharada Iyer,3.66E+11,9615018000,"145, Dada Marg, Surendranagar Dudhrej-585735"
3.33E+11,Ritu Choudhary,3.77E+11,9368243971,"145, Dada Marg, Surendranagar Dudhrej-585735"
3.33E+11,Gaurav Tiwari,4.84E+11,9895778872,"145, Dada Marg, Surendranagar Dudhrej-585735"
3.33E+11,Akash Malhotra,4.65E+11,9635658456,"145, Dada Marg, Surendranagar Dudhrej-585735"
3.33E+11,Mahima Gupta,2.59E+11,9419634616,"H.No. 850, Samra Zila, Tezpur-675839"
3.33E+11,Siddhant Iyer,9.86E+11,9475093023,"H.No. 850, Samra Zila, Tezpur-675839"
3.33E+11,Nirmal Kumar,6.54E+11,9343437870,"H.No. 850, Samra Zila, Tezpur-675839"
3.33E+11,Ramesh Choudhary,7.13E+11,9138599290,"H.No. 850, Samra Zila, Tezpur-675839"
3.34E+11,Sujata Menon,4.25E+11,9718274870,"87, Raja Path, Sangli-Miraj & Kupwad-970013"
3.34E+11,Surabhi Sharma,8.35E+11,9940857533,"87, Raja Path, Sangli-Miraj & Kupwad-970013"
3.34E+11,Nandini Rao,1.76E+11,9333089686,"87, Raja Path, Sangli-Miraj & Kupwad-970013"
3.34E+11,Vidya Nambiar,2.74E+11,9570717315,"87, Raja Path, Sangli-Miraj & Kupwad-970013"
3.34E+11,Shanvika Reddy,3.59E+11,9698697322,"661, Bath Marg, Suryapet 816885"
3.34E+11,Akash Malhotra,7.31E+11,9799956387,"661, Bath Marg, Suryapet 816885"
3.34E+11,Kamal Kishore,5.46E+11,9977273707,"661, Bath Marg, Suryapet 816885"
3.34E+11,Devanshi Mehta,5.53E+11,9228416307,"661, Bath Marg, Suryapet 816885"
3.34E+11,Priyanka Yadav,8.86E+11,9821757921,"661, Bath Marg, Suryapet 816885"
3.33E+11,Jitendra Pandey,1.87E+11,9418864966,"27, Muni Path, Surat 491859"
3.33E+11,Sujata Menon,4.25E+11,9718274870,"27, Muni Path, Surat 491859"
3.33E+11,Siddharth Kulkarni,9.59E+11,9343192281,"27, Muni Path, Surat 491859"
3.33E+11,Sanjay Gupta,2.93E+11,9545556896,"27, Muni Path, Surat 491859"
3.33E+11,Deepa Nair,5.75E+11,9171360491,"181, Varty, Suryapet 082823"
3.33E+11,Shantanu Sen,1.09E+11,9577856030,"181, Varty, Suryapet 082823"
3.33E+11,Rajiv Bhardwaj,6.95E+11,9880251213,"181, Varty, Suryapet 082823"
3.33E+11,Harsha Narayan,9.75E+11,9437528570,"181, Varty, Suryapet 082823"
3.34E+11,Rajiv Bhardwaj,6.95E+11,9880251213,"06, Sodhi Circle, Varanasi-037591"
3.34E+11,Mahima Gupta,2.59E+11,9419634616,"06, Sodhi Circle, Varanasi-037591"
3.34E+11,Akash Malhotra,4.65E+11,9635658456,"06, Sodhi Circle, Varanasi-037591"
3.34E+11,Venu Gopal,3.48E+11,9683855786,"06, Sodhi Circle, Varanasi-037591"
3.34E+11,Sanjay Gupta,7.96E+11,9935992212,"117, Kothari Zila, Bhiwandi 144091"
3.34E+11,Ravi Varma,9.74E+11,9686657221,"117, Kothari Zila, Bhiwandi 144091"
3.34E+11,Ramya Natarajan,7.08E+11,9100126921,"117, Kothari Zila, Bhiwandi 144091"
3.34E+11,Harsha Narayan,9.75E+11,9437528570,"117, Kothari Zila, Bhiwandi 144091"
3.34E+11,Swati Saxena,2.16E+11,9119910524,"117, Kothari Zila, Bhiwandi 144091"
3.34E+11,Dinesh Pillai,5.97E+11,9159459490,"43, Kadakia Ganj, Kolhapur 360275"
3.34E+11,Sanjay Gupta,7.96E+11,9935992212,"43, Kadakia Ganj, Kolhapur 360275"
3.34E+11,Amitabh Roy,8.04E+11,9691490944,"43, Kadakia Ganj, Kolhapur 360275"
3.34E+11,Rohit Sharma,4.81E+11,9169280427,"43, Kadakia Ganj, Kolhapur 360275"
3.34E+11,Ravi Varma,2.71E+11,9632609500,"H.No. 703, Dhar Chowk, Akola-455205"
3.34E+11,Aditi Sinha,1.61E+11,9716281276,"H.No. 703, Dhar Chowk, Akola-455205"
3.34E+11,Anurag Joshi,1.14E+11,9627370771,"H.No. 703, Dhar Chowk, Akola-455205"
3.34E+11,Namrata Joshi,6.52E+11,9154210321,"H.No. 703, Dhar Chowk, Akola-455205"
3.34E+11,Geetha Krishnan,3.36E+11,9925868472,"951, Kalla Zila, Karaikudi 001709"
